Unnamed: 0,Reg,Value,Result
0,const_plus_1,1.0,1.0
1,const_zero,0.0,0.0
2,const_minus_1,-1.0,-1.0
3,admm_iters,0.0,101.0
4,max_iter,101.0,101.0
5,prim_res,0.0,0.00208059
6,eps_prim,0.0,0.00200071
7,dual_res,0.0,0.00181317
8,eps_dual,0.0,0.00387205
9,rho,0.1,1.3416
10,rho_recipical,0.0,0.745378
11,rho_estimate,0.0,1.81474
12,termination,0.0,0.0
13,check_termination,25.0,25.0
14,sigma,1e-06,1e-06
15,alpha,1.6,1.6
16,one_minus_alpha,-0.6,-0.6
17,settings_eps_abs,0.001,0.001
18,settings_eps_rel,0.001,0.001
19,temp_rel_eps,0.0,2.87205
20,norm_z,0.0,1.0
21,norm_Ax,0.0,1.00071
22,norm_q,0.0,2.87205
23,norm_Aty,0.0,2.87081
24,norm_Px,0.0,0.473323
25,prim_norm,0.0,1.00071
26,dual_norm,0.0,2.87205
27,prim_div,0.0,0.00207911
28,dual_div,0.0,0.000631317
29,pcg_max_iter,20.0,20.0
30,pcg_iters,0.0,10.0
31,norm_rhs,0.0,2.16835
32,pcg_eps,0.0001,0.0001
33,pcg_converge_eps,0.0,0.000216835
34,r_dot_y,0.0,6.47644e-09
35,prev_r_dot_y,0.0,5.72979e-07
36,norm_pcg_res,0.0,0.000158767
37,pcg_lambda,0.0,0.025656
38,pcg_mu,0.0,0.0113031
39,p_dot_Kp,0.0,2.23331e-05
40,pcg_termination,0.0,1.0
41,total_pcg_iters,0.0,1362.0
42,temp-1,0.0,0.0
43,temp-2,0.0,1.0
44,temp-3,0.0,0.0
45,temp-10,0.0,0.0
46,temp-11,0.0,0.0
47,temp-12,0.0,0.0
48,temp-13,0.0,1.0
49,temp-14,0.0,0.0
50,temp-15,0.0,0.0
51,temp-23,0.0,1.0
52,temp-30,0.0,0.0
53,temp-31,0.0,1.0
54,temp-32,0.0,0.0
55,temp-33,0.0,1.0
56,temp-34,0.0,0.0
57,const-0,5.0,5.0
58,temp-35,0.0,0.0
59,const-1,0.2,0.2
60,temp-36,0.0,0.0
61,temp-37,0.0,0.0
