id,type,src,init_flag,const_value
A_multiply,omegaconf,./aws/osqp_indirect.c:3:12,unset,0.0
P_multiply,omegaconf,./aws/osqp_indirect.c:3:24,unset,0.0
At_multiply,omegaconf,./aws/osqp_indirect.c:3:36,unset,0.0
vector_sum,omegaconf,./aws/osqp_indirect.c:4:12,unset,0.0
work_x,vectorf,./aws/osqp_indirect.c:6:10,unset,0.0
prev_x,vectorf,./aws/osqp_indirect.c:6:18,unset,0.0
delta_x,vectorf,./aws/osqp_indirect.c:6:26,unset,0.0
xtilde_view,vectorf,./aws/osqp_indirect.c:6:35,unset,0.0
work_y,vectorf,./aws/osqp_indirect.c:7:10,unset,0.0
delta_y,vectorf,./aws/osqp_indirect.c:7:18,unset,0.0
work_z,vectorf,./aws/osqp_indirect.c:8:10,unset,0.0
prev_z,vectorf,./aws/osqp_indirect.c:8:18,unset,0.0
ztilde_view,vectorf,./aws/osqp_indirect.c:8:26,unset,0.0
ztilde_rhs,vectorf,./aws/osqp_indirect.c:8:39,unset,0.0
alpha_ztilde,vectorf,./aws/osqp_indirect.c:8:51,unset,0.0
data_l,vectorf,./aws/osqp_indirect.c:9:10,unset,0.0
data_u,vectorf,./aws/osqp_indirect.c:9:18,unset,0.0
data_q,vectorf,./aws/osqp_indirect.c:9:26,unset,0.0
A_mul_x,vectorf,./aws/osqp_indirect.c:10:10,unset,0.0
P_mul_x,vectorf,./aws/osqp_indirect.c:10:19,unset,0.0
At_mul_y,vectorf,./aws/osqp_indirect.c:10:28,unset,0.0
const_plus_1,float,./aws/osqp_indirect.c:11:8,yes,1.0
const_zero,float,./aws/osqp_indirect.c:12:8,yes,0.0
const_minus_1,float,./aws/osqp_indirect.c:13:8,yes,-1.0
admm_iters,float,./aws/osqp_indirect.c:15:8,yes,0.0
max_iter,float,./aws/osqp_indirect.c:16:8,yes,101.0
prim_res,float,./aws/osqp_indirect.c:17:8,unset,0.0
eps_prim,float,./aws/osqp_indirect.c:17:18,unset,0.0
dual_res,float,./aws/osqp_indirect.c:18:8,unset,0.0
eps_dual,float,./aws/osqp_indirect.c:18:18,unset,0.0
rho,float,./aws/osqp_indirect.c:19:8,yes,0.1
rho_recipical,float,./aws/osqp_indirect.c:20:8,unset,0.0
rho_estimate,float,./aws/osqp_indirect.c:21:8,unset,0.0
termination,float,./aws/osqp_indirect.c:22:8,yes,0.0
check_termination,float,./aws/osqp_indirect.c:23:8,yes,25.0
sigma,float,./aws/osqp_indirect.c:25:8,yes,1e-06
alpha,float,./aws/osqp_indirect.c:26:8,yes,1.6
one_minus_alpha,float,./aws/osqp_indirect.c:27:8,yes,-0.6
settings_eps_abs,float,./aws/osqp_indirect.c:28:8,yes,0.001
settings_eps_rel,float,./aws/osqp_indirect.c:29:8,yes,0.001
temp_rel_eps,float,./aws/osqp_indirect.c:30:8,unset,0.0
norm_z,float,./aws/osqp_indirect.c:31:8,unset,0.0
norm_Ax,float,./aws/osqp_indirect.c:31:16,unset,0.0
norm_q,float,./aws/osqp_indirect.c:31:25,unset,0.0
norm_Aty,float,./aws/osqp_indirect.c:31:33,unset,0.0
norm_Px,float,./aws/osqp_indirect.c:31:43,unset,0.0
prim_norm,float,./aws/osqp_indirect.c:32:8,unset,0.0
dual_norm,float,./aws/osqp_indirect.c:32:19,unset,0.0
prim_div,float,./aws/osqp_indirect.c:33:8,unset,0.0
dual_div,float,./aws/osqp_indirect.c:33:18,unset,0.0
diag_PsI,vectorf,./aws/osqp_indirect.c:35:10,unset,0.0
diag_AtA,vectorf,./aws/osqp_indirect.c:35:20,unset,0.0
precond,vectorf,./aws/osqp_indirect.c:35:30,unset,0.0
pcg_computed_rhs,vectorf,./aws/osqp_indirect.c:36:10,unset,0.0
pcg_Kx,vectorf,./aws/osqp_indirect.c:37:10,unset,0.0
pcg_res,vectorf,./aws/osqp_indirect.c:38:10,unset,0.0
pcg_d,vectorf,./aws/osqp_indirect.c:39:10,unset,0.0
pcg_p,vectorf,./aws/osqp_indirect.c:40:10,unset,0.0
pcg_P_mul_x,vectorf,./aws/osqp_indirect.c:41:10,unset,0.0
pcg_At_mul_y,vectorf,./aws/osqp_indirect.c:41:23,unset,0.0
pcg_sol,vectorf,./aws/osqp_indirect.c:42:10,unset,0.0
pcg_max_iter,float,./aws/osqp_indirect.c:44:8,yes,20.0
pcg_iters,float,./aws/osqp_indirect.c:45:8,unset,0.0
norm_rhs,float,./aws/osqp_indirect.c:46:8,unset,0.0
pcg_eps,float,./aws/osqp_indirect.c:47:8,yes,0.0001
pcg_converge_eps,float,./aws/osqp_indirect.c:48:8,unset,0.0
r_dot_y,float,./aws/osqp_indirect.c:49:8,unset,0.0
prev_r_dot_y,float,./aws/osqp_indirect.c:50:8,unset,0.0
norm_pcg_res,float,./aws/osqp_indirect.c:51:8,unset,0.0
pcg_lambda,float,./aws/osqp_indirect.c:52:8,unset,0.0
pcg_mu,float,./aws/osqp_indirect.c:53:8,unset,0.0
p_dot_Kp,float,./aws/osqp_indirect.c:54:8,unset,0.0
pcg_termination,float,./aws/osqp_indirect.c:55:8,yes,0.0
total_pcg_iters,float,./aws/osqp_indirect.c:56:8,yes,0.0
temp-0,vectorf,./aws/osqp_indirect.c:65:23,unset,0.0
temp-1,float,./aws/osqp_indirect.c:69:8,unset,0.0
temp-2,float,./aws/osqp_indirect.c:69:33,unset,0.0
temp-3,float,./aws/osqp_indirect.c:69:8,unset,0.0
temp-4,vectorf,./aws/osqp_indirect.c:76:17,unset,0.0
temp-5,vectorf,./aws/osqp_indirect.c:78:26,unset,0.0
temp-6,vectorf,./aws/osqp_indirect.c:86:36,unset,0.0
temp-7,vectorf,./aws/osqp_indirect.c:98:26,unset,0.0
temp-8,vectorf,./aws/osqp_indirect.c:98:12,unset,0.0
temp-9,vectorf,./aws/osqp_indirect.c:98:47,unset,0.0
temp-10,float,./aws/osqp_indirect.c:119:7,unset,0.0
temp-11,float,./aws/osqp_indirect.c:119:40,unset,0.0
temp-12,float,./aws/osqp_indirect.c:119:7,unset,0.0
temp-13,float,./aws/osqp_indirect.c:124:9,unset,0.0
temp-14,float,./aws/osqp_indirect.c:124:35,unset,0.0
temp-15,float,./aws/osqp_indirect.c:124:9,unset,0.0
temp-16,vectorf,./aws/osqp_indirect.c:127:12,unset,0.0
temp-17,vectorf,./aws/osqp_indirect.c:127:26,unset,0.0
temp-18,vectorf,./aws/osqp_indirect.c:136:13,unset,0.0
temp-19,vectorf,./aws/osqp_indirect.c:136:13,unset,0.0
temp-20,vectorf,./aws/osqp_indirect.c:136:43,unset,0.0
temp-21,vectorf,./aws/osqp_indirect.c:142:24,unset,0.0
temp-22,vectorf,./aws/osqp_indirect.c:144:24,unset,0.0
temp-23,float,./aws/osqp_indirect.c:156:8,unset,0.0
temp-24,vectorf,./aws/osqp_indirect.c:173:12,unset,0.0
temp-25,vectorf,./aws/osqp_indirect.c:173:34,unset,0.0
temp-26,vectorf,./aws/osqp_indirect.c:176:18,unset,0.0
temp-27,vectorf,./aws/osqp_indirect.c:176:40,unset,0.0
temp-28,vectorf,./aws/osqp_indirect.c:177:27,unset,0.0
temp-29,vectorf,./aws/osqp_indirect.c:182:21,unset,0.0
temp-30,float,./aws/osqp_indirect.c:185:8,unset,0.0
temp-31,float,./aws/osqp_indirect.c:185:8,unset,0.0
temp-32,float,./aws/osqp_indirect.c:221:8,unset,0.0
temp-33,float,./aws/osqp_indirect.c:221:33,unset,0.0
temp-34,float,./aws/osqp_indirect.c:221:8,unset,0.0
const-0,float,./aws/osqp_indirect.c:232:23,const,5.0
temp-35,float,./aws/osqp_indirect.c:232:8,unset,0.0
const-1,float,./aws/osqp_indirect.c:232:45,const,0.2
temp-36,float,./aws/osqp_indirect.c:232:30,unset,0.0
temp-37,float,./aws/osqp_indirect.c:232:8,unset,0.0
temp-38,vectorf,./aws/osqp_indirect.c:237:26,unset,0.0
